batch_size,trial_num,accuracy,loss,test_accuracy,test_precision,test_recall
5,1,1,0.000159055809490382,0.850000023841857,0.818181812763214,0.899999976158142
5,2,1,0.000452370673883706,0.949999988079071,1,0.899999976158142
5,3,0.64999997138977,0.692983388900756,0.632999988079071,0.5,1
5,4,1,0.000968681182712316,0.850000023841857,1,0.699999988079071
5,5,0.82999997138977,0.692808389663696,0.832999713897705,0,0
5,6,1,0.00175892503466457,0.949999988079071,1,0.899999976158142
5,7,0.655999988079071,0.693196356296539,0.655219990463256,0,0
5,8,0.482999998807907,0.69349855184555,0.5,0,0
5,10,0.490000009536743,0.693214118480682,0.5,0.5,1
5,11,1,0.00000251130472861405,0.800000011920929,1,0.600000023841857
5,12,0.840299990463256,0.69317352771759,0.846999990463256,0.5,1
5,13,0.765999988079071,0.693222641944885,0.759999988079071,0.5,1
5,14,0.630000009536743,0.693174362182617,0.640000009536743,0,0
5,15,0.509999990463256,0.693159818649292,0.5,0.5,1
5,16,0.77999997138977,0.938218355178833,0.75999997138977,0,0
5,17,0.490000009536743,0.693285346031189,0.5,0,0
5,18,0.729999990463256,0.693094193935394,0.700000009536743,0.5,1
5,19,1,0.00186357903294265,0.850000023841857,1,0.699999988079071
5,20,0.846999990463256,0.693099200725555,0.840299990463256,0,0
5,21,0.48000000834465,0.693230986595153,0.5,0.5,1
5,22,0.690000009536743,0.693284094333648,0.65999997138977,0.5,1
5,23,0.980000019073486,0.373650282621383,0.899999976158142,0.833333313465118,1
5,24,0.990000009536743,0.01302220672369,0.949999988079071,1,0.899999976158142
5,25,0.479999989271163,0.693297982215881,0.5,0,0
5,26,0.6700000166893,0.583249568939209,0.5,0.5,1
5,27,0.479999989271163,0.693313956260681,0.5,0.5,1
5,28,1,0.00122976454440504,0.850000023841857,1,0.699999988079071
5,29,0.850000009536743,0.693321526050567,0.850000009536743,0.5,1
5,30,1,0.00136621040292084,0.850000023841857,1,0.699999988079071
10,1,0.490000009536743,0.693217098712921,0.5,0,0
10,2,0.980000019073486,0.051751222461462,0.649999976158142,1,0.300000011920928
10,3,0.789999998807907,0.69329023361206,0.75999997138977,0.5,1
10,4,0.980000019073486,0.033858373761177,0.899999976158142,0.833333313465118,1
10,5,1,0.00336238765157759,0.850000023841857,1,0.699999988079071
10,6,0.519999980926513,0.693020761013031,0.5,0,0
10,7,1,0.00119958259165287,0.850000023841857,1,0.699999988079071
10,8,0.669999990463256,0.693149268627166,0.659999998807907,0.5,1
10,9,0.930000007152557,0.381014674901962,0.600000023841857,1,0.200000002980232
10,10,0.590000021457672,0.692883312702179,0.55999997138977,0.5,1
10,11,0.479999989271163,0.693340599536895,0.5,0.5,1
10,12,0.5,0.693159878253936,0.5,0.5,1
10,13,0.479999989271163,0.693273484706878,0.5,0.5,1
10,14,0.52999997138977,0.692955195903778,0.5,0,0
10,15,0.730000009536743,0.693186819553375,0.710000009536743,0,0
10,16,0.479999989271163,0.693191826343536,0.5,0,0
10,17,1,0.00661300076171755,0.949999988079071,1,0.899999976158142
10,19,0.600000009536743,0.693186700344085,0.569999990463256,0,0
10,20,0.469999998807907,0.693230390548706,0.5,0.5,1
10,21,1,0.0106379268690943,0.899999976158142,0.833333313465118,1
10,22,0.519999980926513,0.692993879318237,0.5,0,0
10,23,0.650000009536743,0.693158388137817,0.610000009536743,0.5,1
10,24,1,0.000103843005490489,0.850000023841857,1,0.699999988079071
10,25,0.490000009536743,0.693274855613708,0.5,0.5,1
10,26,0.490000009536743,0.69316428899765,0.5,0,0
