epochs,trial_num,accuracy,loss,val_accuracy,val_loss,test_accuracy,test_precision,test_recall
3,1,0.494736850261688,0.69322919845581,0.5,0.693152785301208,0.33333334326744,0,0
3,2,0.431578934192657,0.659832298755645,0.433333337306976,0.56740653514862,0.400000005960464,0,0
3,3,0.863157868385314,0.322918355464935,0.966666638851165,0.091456726193428,1,1,1
3,4,0.421356765823458,0.619532238755325,0.422333233066976,0.56740689514862,0.400223505960464,0,0
3,5,0.979473700523376,0.0746991336345672,1,0.00147622148506343,1,1,1
3,6,0.400526765856758,0.609747958755325,0.478609233053126,0.56063219514862,0.479873505965421,0,0
3,7,0.89473682641983,0.367182999849319,0.966666638851165,0.465079575777053,1,1,1
3,8,0.505263149738311,0.693127453327179,0.533333361148834,0.692946553230285,0.800000011920929,0.800000011920929,1
3,9,0.536842107772827,0.692887783050537,0.466666668653488,0.69347596168518,0.400000005960464,0,0
3,10,0.526315808296203,0.693148016929626,0.366666674613952,0.693909585475921,0.266666680574417,0.266666680574417,1
3,11,0.852631568908691,0.409001797437667,0.933333337306976,0.141505986452102,1,1,1
3,12,0.505263149738311,0.693154275417327,0.633333325386047,0.691637158393859,0.466666668653488,0,0
3,13,0.372226765312758,0.669000058721325,0.408221233011116,0.520612155514862,0.431267950596542,0,0
3,14,0.505263149738311,0.693227350711822,0.600000023841857,0.692900002002716,0.400000005960464,0,0
3,15,0.505263149738311,0.693115711212158,0.600000023841857,0.692435324192047,0.466666668653488,0,0
3,16,0.905263185501098,0.391030669212341,0.966666638851165,0.409532397985458,0.933333337306976,1,0.888888895511627
3,17,0.411222767556758,0.655747221345325,0.491208342153126,0.561678095148622,0.422343505965421,0,0
3,18,0.463157892227172,0.609196364879608,0.933333337306976,0.484320312738418,0.933333337306976,0.833333313465118,1
3,19,0.863684227466583,0.479569405317306,0.966666638851165,0.445781052112579,1,1,1
3,20,0.968421041965484,0.0649789422750473,1,0.0174708440899848,1,1,1
3,21,0.463157892227172,0.693342924118042,0.666666686534881,0.692471444606781,0.466666668653488,0,0
3,22,0.431578934192657,0.693286478519439,0.533333361148834,0.693066418170929,0.733333349227905,0.733333349227905,1
3,23,0.515789449214935,0.693045139312744,0.433333337306976,0.693756103515625,0.466666668653488,0.466666668653488,1
3,24,0.4005222231567,0.663748430155325,0.412239231113426,0.587321951486272,0.432311044442109,0,0
3,25,0.968421041965484,0.0585603043437004,1,0.0314843468368053,1,1,1
3,26,0.505263149738311,0.693139493465423,0.5,0.693151473999023,0.600000023841857,0.600000023841857,1
3,27,0.352244423156709,0.778944312155325,0.445679231567896,0.598763951422132,0.39123522100251,0,0
3,28,0.978947341442108,0.0317971520125865,1,0.00624583382159471,1,1,1
3,29,0.905789484977722,0.484487503767013,0.966666638851165,0.420983016490936,1,1,1
3,30,0.505263149738311,0.693225085735321,0.466666668653488,0.693172752857208,0.400000005960464,0,0
4,1,0.505263149738311,0.693185806274414,0.5,0.693147420883178,0.733333349227905,0.733333349227905,1
4,2,0.978947341442108,0.0984880477190017,1,0.0761851444840431,1,1,1
4,3,0.500214766356128,0.402766443211063,0.432210837305123,0.40301400060736,0.34153930346744,0,0
4,4,0.778947353363037,0.425104171037673,0.966666638851165,0.116327613592147,1,1,1
4,5,0.557894766330719,0.692826449871063,0.433333337306976,0.693704068660736,0.33333334326744,0,0
4,6,0.907368443012237,0.15470652282238,0.966666638851165,0.0868881717324256,0.933333337306976,1,0.875
4,7,0.989473700523376,0.0988988205790519,0.966666638851165,0.0430259369313716,0.933333337306976,1,0.833333313465118
4,8,0.505263149738311,0.691197097301483,0.466666668653488,0.74538654088974,0.400000005960464,0,0
4,9,0.968421041965484,0.0794282332062721,1,0.00553665636107325,1,1,1
4,10,0.612214766912821,0.322113243211789,0.596776007365433,0.31121000607369,0.50753934346744,0,0
4,11,0.978947341442108,0.0335782095789909,1,0.0347836092114448,1,1,1
4,12,0.916315784454345,0.404280126094818,0.933333337306976,0.468943804502487,1,1,1
4,13,0.54736840724945,0.693038940429687,0.433333337306976,0.693421065807342,0.533333361148834,0,0
